source,target,link_type,direction,confidence,inferred
HADOOP-17720,HADOOP-17722,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17720,HADOOP-17726,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17718,HADOOP-16949,augmented_soft_depends_on,augmented,0.772,True
HADOOP-17718,HADOOP-16748,augmented_soft_depends_on,augmented,0.77,True
HADOOP-17718,HADOOP-17405,augmented_soft_depends_on,augmented,0.767,True
HADOOP-17717,HADOOP-16982,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17717,HADOOP-16405,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17717,HADOOP-17649,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17716,HADOOP-17715,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17716,HADOOP-16818,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17716,HADOOP-16713,augmented_soft_depends_on,augmented,0.742,True
HADOOP-17715,HADOOP-17716,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17715,HADOOP-16818,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17715,HADOOP-16351,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17714,HADOOP-17150,augmented_soft_depends_on,augmented,0.777,True
HADOOP-17714,HADOOP-16574,augmented_soft_depends_on,augmented,0.739,True
HADOOP-17714,HADOOP-16886,augmented_soft_depends_on,augmented,0.73,True
HADOOP-17713,HADOOP-17320,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17713,HADOOP-16589,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17713,HADOOP-16562,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17712,HADOOP-16426,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17712,HADOOP-16455,augmented_soft_depends_on,augmented,0.783,True
HADOOP-17712,HADOOP-17477,augmented_soft_depends_on,augmented,0.731,True
HADOOP-17711,HADOOP-17689,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17711,HADOOP-17105,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17711,HADOOP-16295,augmented_soft_depends_on,augmented,0.795,True
HADOOP-17710,HADOOP-17306,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17710,HADOOP-16264,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17710,HADOOP-17178,augmented_soft_depends_on,augmented,0.769,True
HADOOP-17709,HADOOP-16881,augmented_soft_depends_on,augmented,0.76,True
HADOOP-17709,HADOOP-17066,augmented_soft_depends_on,augmented,0.727,True
HADOOP-17709,HADOOP-17653,augmented_soft_depends_on,augmented,0.724,True
HADOOP-17708,HADOOP-16270,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17708,HADOOP-16861,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17708,HADOOP-16731,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17707,HADOOP-16809,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17707,HADOOP-17182,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17707,HADOOP-16701,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17706,HADOOP-17097,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17705,HADOOP-17771,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17705,HADOOP-16838,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17705,HADOOP-16481,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17704,HADOOP-16552,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17704,HADOOP-17045,augmented_soft_depends_on,augmented,0.772,True
HADOOP-17704,HADOOP-17165,augmented_soft_depends_on,augmented,0.75,True
HADOOP-17703,HADOOP-17232,augmented_soft_depends_on,augmented,0.791,True
HADOOP-17703,HADOOP-16810,augmented_soft_depends_on,augmented,0.75,True
HADOOP-17703,HADOOP-17352,augmented_soft_depends_on,augmented,0.749,True
HADOOP-17702,HADOOP-17088,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17702,HADOOP-17310,augmented_soft_depends_on,augmented,0.774,True
HADOOP-17702,HADOOP-17752,augmented_soft_depends_on,augmented,0.737,True
HADOOP-17701,HADOOP-16662,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17701,HADOOP-17543,augmented_soft_depends_on,augmented,0.75,True
HADOOP-17701,HADOOP-16309,augmented_soft_depends_on,augmented,0.723,True
HADOOP-17700,HADOOP-16500,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17700,HADOOP-17690,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17700,HADOOP-17035,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17699,HADOOP-17577,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17699,HADOOP-16356,augmented_soft_depends_on,augmented,0.8,True
